1 1 1 13 2 4 2 3 1 12 Nothing_in_hand
3 12 3 2 3 11 4 5 2 5 One_pair
1 9 4 6 1 4 3 2 3 9 One_pair
1 4 3 13 2 13 2 1 3 6 One_pair
3 10 2 7 1 2 2 11 4 9 Nothing_in_hand
1 3 4 5 3 4 1 12 4 6 Nothing_in_hand
2 6 4 11 2 3 4 9 1 7 Nothing_in_hand
3 2 4 9 3 7 4 3 4 5 Nothing_in_hand
4 4 3 13 1 8 3 9 3 10 Nothing_in_hand
1 9 3 8 4 4 1 7 3 5 Nothing_in_hand
4 7 3 12 1 13 1 9 2 6 Nothing_in_hand
2 12 1 3 2 11 2 7 4 8 Nothing_in_hand
4 2 2 9 2 7 1 5 3 11 Nothing_in_hand
1 13 2 6 1 6 2 11 3 5 One_pair
3 8 2 7 1 9 3 6 2 3 Nothing_in_hand
2 10 1 11 1 9 3 1 1 13 Nothing_in_hand
4 2 4 12 2 12 2 7 3 10 One_pair
4 5 2 2 4 9 1 5 4 1 One_pair
2 3 3 9 2 1 2 6 4 10 Nothing_in_hand
1 7 2 11 4 1 2 9 3 13 Nothing_in_hand
4 12 1 6 3 1 2 2 1 8 Nothing_in_hand
2 5 3 1 3 13 4 13 3 8 One_pair
1 3 4 8 2 1 1 12 3 5 Nothing_in_hand
2 8 4 6 1 12 2 13 1 8 One_pair
1 7 4 13 4 9 1 9 1 10 One_pair
2 13 3 3 2 11 2 6 1 4 Nothing_in_hand
4 3 2 4 4 9 2 8 1 11 Nothing_in_hand
2 5 3 7 2 12 3 3 2 11 Nothing_in_hand
3 4 2 1 3 10 1 8 4 1 One_pair
4 11 2 13 4 4 3 8 4 1 Nothing_in_hand
4 10 2 5 4 8 1 6 2 13 Nothing_in_hand
4 8 1 3 2 3 2 2 2 8 Two_pairs
1 4 4 5 4 3 1 8 4 1 Nothing_in_hand
1 7 4 13 1 5 1 13 3 3 One_pair
1 5 4 6 3 8 1 11 1 2 Nothing_in_hand
1 9 1 6 4 5 3 5 1 5 Three_of_a_kind
1 12 2 10 1 6 2 13 4 5 Nothing_in_hand
1 10 1 6 3 13 3 11 3 9 Nothing_in_hand
2 13 4 7 3 11 3 10 3 9 Nothing_in_hand
3 11 2 1 2 13 2 11 4 10 One_pair
1 8 1 3 4 2 2 7 1 4 Nothing_in_hand
1 7 2 2 4 3 4 9 3 2 One_pair
1 1 4 5 4 1 3 7 4 4 One_pair
1 12 4 11 2 1 4 7 3 13 Nothing_in_hand
1 3 1 9 1 4 4 1 1 8 Nothing_in_hand
2 7 3 7 4 4 1 10 1 13 One_pair
3 10 4 9 2 4 3 6 1 3 Nothing_in_hand
3 11 4 3 2 4 4 7 3 12 Nothing_in_hand
2 2 4 3 4 8 1 2 3 13 One_pair
2 9 2 5 1 6 4 13 2 11 Nothing_in_hand
3 12 2 7 1 9 3 11 1 8 Nothing_in_hand
3 5 4 6 3 4 3 7 3 2 Nothing_in_hand
3 4 3 7 1 5 4 13 2 2 Nothing_in_hand
4 6 2 5 4 11 1 2 3 3 Nothing_in_hand
4 3 2 12 1 4 2 5 1 11 Nothing_in_hand
4 6 3 13 2 1 2 4 2 12 Nothing_in_hand
2 4 4 5 2 13 1 13 2 3 One_pair
4 8 2 9 3 13 1 2 1 7 Nothing_in_hand
3 9 2 3 3 2 2 9 3 5 One_pair
4 4 1 11 2 9 4 13 2 7 Nothing_in_hand
1 5 1 9 2 8 2 4 4 3 Nothing_in_hand
4 12 4 7 4 5 2 10 2 2 Nothing_in_hand
4 3 2 4 4 13 3 6 4 12 Nothing_in_hand
2 5 4 5 4 1 4 9 2 7 One_pair
2 12 3 12 3 7 3 11 2 7 Two_pairs
4 13 2 6 4 6 4 10 4 9 One_pair
1 9 3 7 2 9 4 9 2 4 Three_of_a_kind
1 10 3 3 2 12 4 1 4 5 Nothing_in_hand
4 2 1 4 1 13 3 4 3 9 One_pair
1 1 4 5 4 7 2 4 4 11 Nothing_in_hand
1 3 2 9 3 11 2 1 2 3 One_pair
3 10 3 6 1 10 1 6 2 9 Two_pairs
1 4 1 11 1 2 3 3 3 10 Nothing_in_hand
1 12 4 3 4 12 1 8 3 10 One_pair
3 2 4 4 3 13 3 12 2 13 One_pair
4 4 3 10 1 12 3 8 2 6 Nothing_in_hand
2 11 3 4 3 11 3 2 4 3 One_pair
3 5 2 2 2 11 4 5 2 9 One_pair
4 11 2 8 3 10 4 6 3 5 Nothing_in_hand
1 12 3 6 4 13 2 6 2 1 One_pair
1 6 3 2 4 7 1 10 3 5 Nothing_in_hand
4 10 4 11 2 12 1 4 2 13 Nothing_in_hand
4 9 3 5 1 5 2 2 1 4 One_pair
2 1 3 3 3 5 1 13 2 13 One_pair
4 3 3 4 2 3 3 12 3 9 One_pair
3 13 4 4 1 11 1 8 3 6 Nothing_in_hand
4 10 2 9 2 13 4 5 2 1 Nothing_in_hand
3 2 3 6 4 7 1 9 4 2 One_pair
2 11 1 7 4 13 3 10 2 2 Nothing_in_hand
2 2 4 8 4 5 2 9 1 7 Nothing_in_hand
