3 4 8 1 91.5 145.4 608.2 10.7 10.3 74 2.2 0 0
3 4 8 1 91.5 145.4 608.2 10.7 17.1 43 5.4 0 0
3 4 9 7 92.4 124.1 680.7 8.5 22.5 42 5.4 0 0
3 4 9 2 84.4 73.4 671.9 3.2 17.9 45 3.1 0 0
3 4 9 5 94.3 85.1 692.3 15.9 19.8 50 5.4 0 0
3 4 10 7 92.6 46.5 691.8 8.8 20.6 24 5.4 0 0
3 5 3 1 87.6 52.2 103.8 5 9 49 2.2 0 0
3 5 9 5 93.5 149.3 728.6 8.1 17.2 43 3.1 0 0
3 5 10 3 91.4 37.9 673.8 5.2 15.9 46 3.6 0 0
2 5 10 7 92.6 46.5 691.8 8.8 15.4 35 0.9 0 0
4 6 2 6 68.2 21.5 87.2 0.8 15.4 40 2.7 0 0
4 6 3 1 87.2 23.9 64.7 4.1 14 39 3.1 0 0
4 6 3 7 89.3 51.3 102.2 9.6 10.6 46 4.9 0 0
4 6 9 4 93.7 80.9 685.2 17.9 17.6 42 3.1 0 0
3 5 3 2 88.1 25.7 67.6 3.8 14.9 38 2.7 0 0
3 5 8 6 93.5 139.4 594.2 20.3 17.6 52 5.8 0 0
3 6 9 7 92.4 124.1 680.7 8.5 17.2 58 1.3 0 0
3 6 9 1 90.9 126.5 686.5 7 15.6 66 3.1 0 0
9 9 7 2 85.8 48.3 313.4 3.9 18 42 2.7 0 0.36
1 4 9 2 91 129.5 692.6 7 21.7 38 2.2 0 0.43
2 5 9 1 90.9 126.5 686.5 7 21.9 39 1.8 0 0.47
1 2 8 3 95.5 99.9 513.3 13.2 23.3 31 4.5 0 0.55
8 6 8 5 90.1 108 529.8 12.5 21.2 51 8.9 0 0.61
1 2 7 6 90 51.3 296.3 8.7 16.6 53 5.4 0 0.71
2 5 8 3 95.5 99.9 513.3 13.2 23.8 32 5.4 0 0.77
6 5 8 4 95.2 131.7 578.8 10.4 27.4 22 4 0 0.9
5 4 3 1 90.1 39.7 86.6 6.2 13.2 40 5.4 0 0.95
8 3 9 2 84.4 73.4 671.9 3.2 24.2 28 3.6 0 0.96
2 2 8 2 94.8 108.3 647.1 17 17.4 43 6.7 0 1.07
8 6 9 4 93.7 80.9 685.2 17.9 23.7 25 4.5 0 1.12
